# source
#   data file:		acism01712N000_gti_img1_2.5-3.0.fits
#   degrees/pix:	0.000136667
# background
#   constant value:	0.000000
# column units
#   area:		arcsec**2
#   surf_bri:		cnts/arcsec**2
#   err_rate:		cnts/arcsec**2
#   radii:		arcsecs
#   angles:		degrees

# summed background-subtracted results
upto       counts     error   background    berror      area  surf_bri  err_rate      rad1      rad2    angle1    angle2
---- ------------ --------- ------------ --------- --------- --------- --------- --------- --------- --------- ---------
   1        2.000     1.414        0.000     0.000      0.24     8.262     5.842      0.00      2.00        NA        NA
   2      144.000    12.000        0.000     0.000     20.09     7.167     0.597      2.00      4.00        NA        NA
   3      217.000    14.731        0.000     0.000     62.45     3.475     0.236      4.00      6.00        NA        NA
   4      256.000    16.000        0.000     0.000    118.85     2.154     0.135      6.00      8.00        NA        NA
   5      292.000    17.088        0.000     0.000    203.33     1.436     0.084      8.00     10.00        NA        NA
   6      325.000    18.028        0.000     0.000    314.20     1.034     0.057     10.00     12.00        NA        NA
   7      345.000    18.574        0.000     0.000    446.12     0.773     0.042     12.00     14.00        NA        NA
   8      366.000    19.131        0.000     0.000    605.64     0.604     0.032     14.00     16.00        NA        NA
   9      387.000    19.672        0.000     0.000    794.21     0.487     0.025     16.00     18.00        NA        NA
  10      403.000    20.075        0.000     0.000   1004.81     0.401     0.020     18.00     20.00        NA        NA
  11      413.000    20.322        0.000     0.000   1240.34     0.333     0.016     20.00     22.00        NA        NA
  12      428.000    20.688        0.000     0.000   1500.80     0.285     0.014     22.00     24.00        NA        NA
  13      444.000    21.071        0.000     0.000   1788.37     0.248     0.012     24.00     26.00        NA        NA
  14      463.000    21.517        0.000     0.000   2096.27     0.221     0.010     26.00     28.00        NA        NA
  15      472.000    21.726        0.000     0.000   2432.26     0.194     0.009     28.00     30.00        NA        NA
  16      477.000    21.840        0.000     0.000   2786.64     0.171     0.008     30.00     32.00        NA        NA
  17      485.000    22.023        0.000     0.000   3176.85     0.153     0.007     32.00     34.00        NA        NA
  18      499.000    22.338        0.000     0.000   3593.92     0.139     0.006     34.00     36.00        NA        NA
  19      506.000    22.494        0.000     0.000   4026.98     0.126     0.006     36.00     38.00        NA        NA
  20      518.000    22.760        0.000     0.000   4483.75     0.116     0.005     38.00     40.00        NA        NA
  21      530.000    23.022        0.000     0.000   4971.99     0.107     0.005     40.00     42.00        NA        NA
  22      539.000    23.216        0.000     0.000   5493.16     0.098     0.004     42.00     44.00        NA        NA
  23      547.000    23.388        0.000     0.000   6042.64     0.091     0.004     44.00     46.00        NA        NA
  24      553.000    23.516        0.000     0.000   6618.27     0.084     0.004     46.00     48.00        NA        NA
  25      568.000    23.833        0.000     0.000   7215.44     0.079     0.003     48.00     50.00        NA        NA
  26      578.000    24.042        0.000     0.000   7823.99     0.074     0.003     50.00     52.00        NA        NA
  27      588.000    24.249        0.000     0.000   8461.35     0.069     0.003     52.00     54.00        NA        NA
  28      594.000    24.372        0.000     0.000   9112.02     0.065     0.003     54.00     56.00        NA        NA
  29      607.000    24.637        0.000     0.000   9815.94     0.062     0.003     56.00     58.00        NA        NA
  30      621.000    24.920        0.000     0.000  10542.61     0.059     0.002     58.00     60.00        NA        NA
  31      637.000    25.239        0.000     0.000  12062.29     0.053     0.002     60.00     64.00        NA        NA
  32      659.000    25.671        0.000     0.000  13692.11     0.048     0.002     64.00     68.00        NA        NA
  33      675.000    25.981        0.000     0.000  15411.97     0.044     0.002     68.00     72.00        NA        NA
  34      687.000    26.211        0.000     0.000  17225.27     0.040     0.002     72.00     76.00        NA        NA
  35      709.000    26.627        0.000     0.000  19156.22     0.037     0.001     76.00     80.00        NA        NA
  36      730.000    27.019        0.000     0.000  21191.49     0.034     0.001     80.00     84.00        NA        NA
  37      742.000    27.240        0.000     0.000  23315.85     0.032     0.001     84.00     88.00        NA        NA
  38      760.000    27.568        0.000     0.000  25551.79     0.030     0.001     88.00     92.00        NA        NA
  39      780.000    27.928        0.000     0.000  27706.40     0.028     0.001     92.00     96.00        NA        NA
  40      792.000    28.142        0.000     0.000  29852.54     0.027     0.001     96.00    100.00        NA        NA
  41      807.000    28.408        0.000     0.000  32013.69     0.025     0.001    100.00    104.00        NA        NA
  42      821.000    28.653        0.000     0.000  34204.13     0.024     0.001    104.00    108.00        NA        NA
  43      834.000    28.879        0.000     0.000  36426.52     0.023     0.001    108.00    112.00        NA        NA
  44      845.000    29.069        0.000     0.000  38681.83     0.022     0.001    112.00    116.00        NA        NA
  45      863.000    29.377        0.000     0.000  40964.01     0.021     0.001    116.00    120.00        NA        NA
  46      897.000    29.950        0.000     0.000  45676.27     0.020     0.001    120.00    128.00        NA        NA
  47      924.000    30.397        0.000     0.000  50540.30     0.018     0.001    128.00    136.00        NA        NA
  48      950.000    30.822        0.000     0.000  55597.99     0.017     0.001    136.00    144.00        NA        NA
  49      979.000    31.289        0.000     0.000  60827.05     0.016     0.001    144.00    152.00        NA        NA
  50     1013.000    31.828        0.000     0.000  66186.59     0.015     0.000    152.00    160.00        NA        NA
  51     1036.000    32.187        0.000     0.000  71765.68     0.014     0.000    160.00    168.00        NA        NA
  52     1064.000    32.619        0.000     0.000  77583.45     0.014     0.000    168.00    176.00        NA        NA
  53     1091.000    33.030        0.000     0.000  83231.77     0.013     0.000    176.00    184.00        NA        NA
  54     1112.000    33.347        0.000     0.000  88481.65     0.013     0.000    184.00    192.00        NA        NA
  55     1132.000    33.645        0.000     0.000  93574.68     0.012     0.000    192.00    200.00        NA        NA
  56     1148.000    33.882        0.000     0.000  98700.39     0.012     0.000    200.00    208.00        NA        NA
  57     1179.000    34.337        0.000     0.000 103877.17     0.011     0.000    208.00    216.00        NA        NA
  58     1196.000    34.583        0.000     0.000 109117.85     0.011     0.000    216.00    224.00        NA        NA
  59     1214.000    34.843        0.000     0.000 114430.91     0.011     0.000    224.00    232.00        NA        NA
  60     1232.000    35.100        0.000     0.000 119834.27     0.010     0.000    232.00    240.00        NA        NA
  61     1253.000    35.398        0.000     0.000 125298.86     0.010     0.000    240.00    248.00        NA        NA
  62     1276.000    35.721        0.000     0.000 130833.90     0.010     0.000    248.00    256.00        NA        NA
  63     1298.000    36.028        0.000     0.000 136486.33     0.010     0.000    256.00    264.00        NA        NA
  64     1324.000    36.387        0.000     0.000 142190.57     0.009     0.000    264.00    272.00        NA        NA
  65     1339.000    36.592        0.000     0.000 147943.95     0.009     0.000    272.00    280.00        NA        NA
